year,life_expectancy
1799,35.9
1800,35.9
1801,35.9
1802,35.9
1803,35.9
1804,35.9
1805,35.9
1806,35.9
1807,35.9
1808,35.9
1809,35.9
1810,35.9
1811,35.9
1812,35.9
1813,35.9
1814,35.9
1815,35.9
1816,35.9
1817,35.9
1818,35.9
1819,35.9
1820,35.9
1821,35.9
1822,35.9
1823,35.9
1824,35.9
1825,35.9
1826,35.9
1827,35.9
1828,35.9
1829,35.9
1830,35.9
1831,35.9
1832,35.9
1833,35.9
1834,35.9
1835,35.9
1836,35.9
1837,35.9
1838,35.9
1839,35.9
1840,35.9
1841,35.9
1842,35.9
1843,35.9
1844,35.9
1845,35.9
1846,35.9
1847,35.9
1848,35.9
1849,35.9
1850,35.9
1851,35.9
1852,35.9
1853,35.9
1854,35.9
1855,35.9
1856,35.9
1857,35.9
1858,35.9
1859,35.9
1860,35.9
1861,35.9
1862,35.9
1863,35.9
1864,35.9
1865,35.9
1866,35.9
1867,35.9
1868,35.9
1869,35.9
1870,35.9
1871,35.9
1872,35.9
1873,35.9
1874,35.9
1875,35.9
1876,35.9
1877,35.9
1878,35.9
1879,35.9
1880,35.9
1881,35.9
1882,35.9
1883,35.9
1884,35.9
1885,36.2
1886,36.5
1887,36.8
1888,37.1
1889,37.4
1890,37.7
1891,38.0
1892,38.3
1893,38.6
1894,38.9
1895,39.2
1896,39.5
1897,39.8
1898,40.1
1899,40.4
1901,40.7
1902,41.0
1903,41.3
1904,41.6
1905,41.9
1906,42.2
1907,42.5
1908,42.8
1909,43.1
1910,43.4
1911,43.7
1912,44.0
1913,44.3
1914,44.6
1915,44.9
1916,45.2
1917,45.5
1918,38.6
1919,46.1
1920,46.5
1921,46.8
1922,47.0
1923,47.4
1924,47.6
1925,48.0
1926,48.3
1927,48.6
1928,48.9
1929,49.2
1930,49.5
1931,49.8
1932,50.3
1933,50.7
1934,51.2
1935,51.7
1936,52.2
1937,52.7
1938,53.2
1939,45.0
1940,44.7
1941,41.1
1942,33.4
1943,23.6
1944,15.4
1945,34.3
1946,47.0
1947,54.0
1948,56.9
1949,57.9
1950,59.0
1951,57.9
1952,60.1
1953,62.2
1954,62.7
1955,63.4
1956,64.9
1957,64.2
1958,65.8
1959,65.8
1960,67.9
1961,68.1
1962,67.9
1963,68.6
1964,69.1
1965,69.7
1966,70.0
1967,69.8
1968,70.3
1969,69.9
1970,70.2
1971,70.1
1972,71.0
1973,71.1
1974,71.6
1975,71.1
1976,71.1
1977,70.9
1978,70.9
1979,71.1
1980,70.5
1981,71.4
1982,71.5
1983,71.3
1984,71.0
1985,70.8
1986,71.0
1987,71.1
1988,71.4
1989,71.2
1990,71.1
1991,70.8
1992,71.2
1993,71.8
1994,71.8
1995,72.0
1996,72.5
1997,72.7
1998,73.1
1999,73.2
2000,73.9
2001,74.3
2002,74.7
2003,74.9
2004,75.0
2005,75.2
2006,75.3
2007,75.4
2008,75.6
2009,75.9
2010,76.5
2011,76.8
2012,76.9
2013,77.2
2014,77.6
2015,77.6
2016,77.9
2017,78.0
2018,78.0
2019,78.1
2020,76.7
2021,78.4
2022,78.6
2023,78.7
2024,78.9
2025,79.0
2026,79.2
2027,79.4
2028,79.5
2029,79.7
2030,79.9
2031,80.0
2032,80.2
2033,80.3
2034,80.5
2035,80.7
2036,80.8
2037,81.0
2038,81.1
2039,81.3
2040,81.4
2041,81.6
2042,81.7
2043,81.8
2044,82.0
2045,82.1
2046,82.2
2047,82.4
2048,82.5
2049,82.6
2050,82.7
2051,82.9
2052,83.0
2053,83.1
2054,83.2
2055,83.3
2056,83.5
2057,83.6
2058,83.7
2059,83.8
2060,83.9
2061,84.0
2062,84.2
2063,84.3
2064,84.4
2065,84.5
2066,84.6
2067,84.7
2068,84.8
2069,85.0
2070,85.1
2071,85.2
2072,85.3
2073,85.4
2074,85.5
2075,85.6
2076,85.7
2077,85.8
2078,86.0
2079,86.1
2080,86.2
2081,86.3
2082,86.4
2083,86.5
2084,86.6
2085,86.7
2086,86.8
2087,86.9
2088,87.0
2089,87.1
2090,87.2
2091,87.3
2092,87.5
2093,87.6
2094,87.7
2095,87.8
2096,87.9
2097,88.0
2098,88.1
2099,88.2
2100,88.3
