Title,RatingTomatometer,No. of Reviews
Black Panther (2018),97,444
Mad Max: Fury Road (2015),97,394
Wonder Woman (2017),93,410
Metropolis (1927),99,118
Coco (2017),97,308
Dunkirk (2017),92,413
Incredibles 2 (2018),94,332
Star Wars: The Last Jedi (2017),91,419
Logan (2017),93,371
Star Wars: Episode VII - The Force Awakens (2015),93,402
King Kong (1933),98,56
The Adventures of Robin Hood (1938),100,45
Thor: Ragnarok (2017),92,370
Baby Driver (2017),93,343
Zootopia (2016),97,268
Seven Samurai (Shichinin no Samurai) (1956),100,58
Spider-Man: Homecoming (2017),92,350
Up (2009),98,290
The Jungle Book (2016),95,307
War for the Planet of the Apes (2017),93,323
The Treasure of the Sierra Madre (1948),100,45
Lawrence of Arabia (1962),98,80
The Dark Knight (2008),94,332
Captain America: Civil War (2016),91,381
Jaws (1975),97,79
Harry Potter and the Deathly Hallows - Part 2 (2011),96,320
The Hurt Locker (2009),97,277
Aliens (1986),99,68
The LEGO Movie (2014),96,240
Skyfall (2012),92,362
Ant-Man and the Wasp (2018),88,364
Star Wars: Episode IV - A New Hope (1977),93,114
WALL-E (2008),96,252
Moana (2016),95,261
The Searchers (1956),100,42
Star Trek (2009),94,342
Kubo and the Two Strings (2016),97,207
The 39 Steps (1935),96,46
Rio Bravo (1959),100,40
The Terminator (1984),100,59
Mission: Impossible Rogue Nation (2015),93,300
Marvel's The Avengers (2012),92,340
The African Queen (1951),98,42
Star Wars: Episode V - The Empire Strikes Back (1980),95,92
Once Upon a Time in the West (1968),98,58
Apocalypse Now (1979),96,85
Blade Runner 2049 (2017),87,389
The French Connection (1971),98,55
True Grit (2010),96,270
Isle of Dogs (2018),89,314
Throne of Blood (1957),98,42
"Aguirre, the Wrath of God (Aguirre, der Zorn Gottes) (1972)",98,46
Badlands (1974),98,52
Avengers: Infinity War (2018),84,408
Yellow Submarine (1968),97,59
Guardians of the Galaxy (2014),91,306
Iron Man (2008),93,274
Chicken Run (2000),97,170
Spartacus (1960),96,54
The Princess Bride (1987),97,71
Hunt for the Wilderpeople (2016),96,185
Ghostbusters (1984 Original) (1984),97,71
Goldfinger (1964),97,60
Paths of Glory (1957),95,55
Casino Royale (2006),94,252
All Is Lost (2013),94,228
Ran (1985),96,80
The Lego Batman Movie (2017),90,289
Doctor Strange (2016),89,338
A Fistful of Dollars (Per un Pugno di Dollari) (1964),98,47
Assault on Precinct 13 (1976),98,42
X-Men: Days of Future Past (2014),90,306
No Country for Old Men (2007),93,279
The Lord of the Rings: The Two Towers (2002),95,250
Looper (2012),93,257
Back to the Future (1985),96,77
The Right Stuff (1983),98,46
Gojira (1956),93,70
"Crouching Tiger, Hidden Dragon (2001)",97,153
The Fugitive (1993),96,74
Dawn Of The Planet Of The Apes (2014),90,297
Mad Max 2: The Road Warrior (1982),98,43
Mandy (2018),92,213
Who Framed Roger Rabbit (1988),97,63
Annihilation (2018),89,271
Close Encounters of the Third Kind (1977),96,57
Diva (1981),98,48
The Bridge on the River Kwai (1957),94,54
Babe (1995),97,70
Dr. No (1962),96,54
The Lion King (1994),93,123
Sicario (2015),92,250
Jurassic Park (1993),91,123
In the Line of Fire (1993),96,67
Raiders of the Lost Ark (1981),95,75
From Russia With Love (1964),96,55
Superman (1978),94,65
Saving Private Ryan (1998),93,137
